flag,source_district,school,school_cleaned,my_county,confidence,matched_sc_name,sc_counties,match_ratio
MISMATCH,Canterbury,Waikakahi,Waikakahi,Waimate County,Low,waikaka,Southland,0.875
MISMATCH,HawkesBay,Clifton,Clifton,Hawke's Bay County,Low,Clifton,Takaka,1.0
MISMATCH,HawkesBay,Hinuera,Hinuera,Waipawa County,Low,Hinuera,Matamata,1.0
MISMATCH,HawkesBay,Maraekako,Maraekako,Wairoa County,Low,maraekakaho,Hawke's Bay,0.9
MISMATCH,HawkesBay,Pouawa,Pouawa,Cook County,Low,poukawa,Hawke's Bay,0.923
MISMATCH,HawkesBay,Waikari,Waikari,Wairoa County,Low,Waikari,Waipara,1.0
MISMATCH,HawkesBay,Woodlands,Woodlands,Wairoa County,Low,Woodlands,Southland,1.0
MISMATCH,Nelson,Churchill,Churchill,Buller County,Low,Churchill,Raglan,1.0
MISMATCH,Nelson,Glenroy,Glenroy,Waimea County,Low,Glenroy,Selwyn,1.0
MISMATCH,Nelson,Gordon,Gordon,Buller County,Low,Gordon,Piako,1.0
MISMATCH,Nelson,Woodstock,Woodstock,Inangahua County,Low,Woodstock,Westland,1.0
MISMATCH,Otago,Bluespur,Bluespur,Waitaki County,Low,blue spur,Tuapeka,0.941
MISMATCH,Otago,Fair View,Fair View,Clutha County,Low,Fair View,Levels,1.0
MISMATCH,Otago,Goodwood,Goodwood,Clutha County,Low,Goodwood,Waihemo,1.0
MISMATCH,Otago,Kia Ora,Kia Ora,Clutha County,Low,Kia Ora,Waitaki,1.0
MISMATCH,Otago,Matau,Matau,Clutha County,Low,matapu,Eltham,0.909
MISMATCH,Otago,Matea,Matea,Clutha County,Low,mata,Eltham,0.889
MISMATCH,Otago,Tahora,Tahora,Clutha County,Low,Tahora,Whangamomona | Cook,1.0
MISMATCH,Otago,Te Houka,Te Houka,Tuapeka County,Low,Te Houka,Clutha,1.0
MISMATCH,Otago,Waiwera,Waiwera,Clutha County,Low,Waiwera,Waitemata,1.0
MISMATCH,Otago,Walton,Walton,Waitaki County,Low,Walton,Piako,1.0
MISMATCH,Taranaki,Okau,Okau,Ohura County,Low,Okau,Clifton,1.0
MISMATCH,Taranaki,Pembroke,Pembroke,Stratford County,Low,Pembroke,Lake,1.0
MISMATCH,Taranaki,Pukeho,Pukeho,Taranaki County,Low,pukehou,Waipawa,0.923
MISMATCH,Taranaki,Waiau,Waiau,Clifton County,Low,Waiau,Franklin | Amuri,1.0
MISMATCH,Wanganui,Coal Creek,Coal Creek,Rangitikei County,Low,Coal Creek,Tuapeka,1.0
MISMATCH,Wanganui,Mangara,Mangara,Wanganui County,Low,mangarawa,Woodville,0.875
MISMATCH,Wanganui,Matarawa,Matarawa,Rangitikei County,Low,Matarawa,Wairarapa South,1.0
MISMATCH,Wanganui,Otairi,Otairi,Rangitikei County,Low,otapiri,Southland,0.923
MISMATCH,Wanganui,Owhakura,Owhakura,Pohangina County,Low,oakura,Taranaki,0.857
MISMATCH,Wanganui,Parawanui,Parawanui,Wanganui County,Low,parawai,Thames,0.875
MISMATCH,Wanganui,Rapanui,Rapanui,Waitotara County,Low,ratanui,Clutha,0.857
MISMATCH,Wanganui,Raukura,Raukura,Oroua County,Low,ruakura,Waikato,0.857
MISMATCH,Wanganui,Tokorangi,Tokorangi,Wanganui County,Low,tikorangi,Clifton,0.889
MISMATCH,Wanganui,Woodlands,Woodlands,Wanganui County,Low,Woodlands,Southland,1.0
MISMATCH,Wellington,Hakahaka,Hakahaka,Sounds County,Low,akaaka,Franklin,0.857
MISMATCH,Wellington,Titirangi,Titirangi,Sounds County,Low,Titirangi,Waitemata,1.0
MISMATCH,Wellington,Waireka,Waireka,Marlborough County,Low,waiareka,Waitaki,0.933
MISMATCH,Wellington,Pukenui,Pukenui,Wairarapa South County,Low,Pukenui,Mongonui,1.0
MISMATCH,Wellington,Maku,Maku,Pahiatua County,Low,mauku,Franklin,0.889
MISMATCH,Wellington,Spring Grove,Spring Grove,Sounds County,Low,Spring Grove,Waimea,1.0
MISMATCH,Wellington,Waitai,Waitai,Sounds County,Low,waitati,Waikouaiti,0.923
