index,geo_unit,Name,Province,latitude,longitude
142,BR00017,Devonport,Auckland,-36.831667,174.796278
143,BR00018,Dunedin,Otago,-45.87416,170.50361
144,BR00019,Eastbourne,Wellington,-41.3,174.9
145,BR00020,Eketahuna,Wellington,-40.647,175.704
146,BR00021,Eltham,Taranaki,-39.42972,174.29917
147,BR00022,Featherston,Wellington,-41.117,175.317
148,BR00023,Feilding,Wellington,-40.216667,175.566667
149,BR00024,Foxton,Wellington,-40.47167,175.28583
150,BR00025,Geraldine,Canterbury,-44.09028,171.24333
151,BR00026,Gisborne,Hawkes.Bay,-38.6625,178.017778
152,BR00027,Gore,Southland,-46.09917,168.94639
153,BR00028,Green Island,Otago,-45.90278,170.43056
154,BR00029,Greymouth,Westland,-42.45,171.2075
155,BR00030,Greytown,Wellington,-41.08,175.461
156,BR00031,Hamilton,Auckland,-37.783,175.283
157,BR00032,Hampden,Otago,-45.32778,170.81667
158,BR00033,Hastings,Hawkes.Bay,-39.6381,176.84918
159,BR00034,Hawera,Taranaki,-39.59167,174.28333
160,BR00035,Hokitika,Westland,-42.71667,170.96667
161,BR00036,Inglewood,Taranaki,-39.15824,174.1802
162,BR00037,Invercargill,Southland,-46.4132,168.3538
163,BR00038,Invercargill South,Southland,-46.425,168.35
164,BR00039,Kaiapoi,Canterbury,-43.37832,172.64013
165,BR00040,Kaitangata,Otago,-46.275,169.85
166,BR00041,Kumara,Westland,-42.63111,171.18694
167,BR00042,Lawrence,Otago,-45.913,169.689
168,BR00043,Levin,Wellington,-40.63333,175.275
169,BR00044,Lower Hutt,Wellington,-41.21667,174.91667
170,BR00045,Lyttelton,Canterbury,-43.526945,172.632377
171,BR00046,Marton,Wellington,-40.06917,175.37833
172,BR00047,Masterton,Wellington,-40.95972,175.6575
173,BR00048,Mataura,Southland,-46.183,168.867
174,BR00049,Milton,Otago,-46.12083,169.96944
175,BR00050,Morrinsville,Auckland,-37.65,175.517
176,BR00051,Mosgiel,Otago,-45.875,170.347
177,BR00052,Motueka,Nelson,-41.12333,173.01472
178,BR00053,Mount Albert,Auckland,-36.884,174.716
179,BR00054,Mount Eden,Auckland,-36.88158,174.76204
180,BR00055,Napier,Hawkes.Bay,-39.4926,176.91233
181,BR00056,Naseby,Otago,-45.016667,170.133333
182,BR00057,Nelson,Nelson,-41.27078,173.28404
183,BR00058,New Brighton,Canterbury,-43.50962726,172.7303742
184,BR00059,New Plymouth,Taranaki,-39.055626,174.075226
185,BR00060,Newmarket,Auckland,-36.869862,174.777578
186,BR00061,Ngaruawahia,Auckland,-37.66738,175.15554
187,BR00062,Northcote,Auckland,-36.805,174.744
188,BR00063,Oamaru,Otago,-45.09746,170.96911
189,BR00064,Ohakune,Taranaki,-39.41861,175.39944
190,BR00065,Onehunga,Auckland,-36.9223,174.7838
191,BR00066,Opotiki,Hawkes.Bay,-38.00915,177.28706
192,BR00067,Otahuhu,Auckland,-36.9382,174.84019
193,BR00068,Otaki,Wellington,-40.75833,175.15
