page,electoral_district,locality,venue_type,entry_raw
6,Buller,Westport,Courthouse,"The Courthouse, Westport (principal)"
6,Buller,Lyell,Courthouse,"The Courthouse, Lyell"
6,Buller,Waimangaroa,Public Hall,"The Public Hall, Waimangaroa"
6,Buller,Burnett’s Face,Hall,"The Mission Hall, Burnett’s Face"
6,Buller,Granity,Library,"The Public Library, Granity"
6,Buller,Addison’s,Public School,"The Public School, Addison’s"
6,Buller,Black’s Point,Hall,"The Methodist Hall, Black’s Point"
6,Buller,Fairdown,Public School,"The Public School, Fairdown"
6,Buller,Cronadun,Public School,"The Public School, Cronadun"
6,Buller,Millerton,Other,"The Hail, Millerton"
6,Buller,Birchfield,Other,"The Hall, Birchfield"
6,Buller,Charleston,Courthouse,"The Courthouse, Charleston"
6,Buller,Fern Flat,Other,"The School-teacher’s Residence, Fern Flat"
6,Buller,Murchison,Public School,"The Public School, Murchison"
6,Buller,Te Kuha,Public School,"The Public School, Te Kuha"
6,Grey,Greymouth,Town Hall,"The Town Hall, Greymouth (principal)"
6,Grey,Shakespeare Street,Club Rooms,"The United Football Club’s Shed, Shakespeare Street"
6,Grey,Blaketown,Public School,"The Public School, Blaketown"
6,Grey,Cobden,Hall,"The Cobden Hall, Cobden"
6,Grey,Barrytown,Public School,"The Public School, Barrytown"
6,Grey,Runanga,Public School,"The Public School, Runanga"
6,Grey,Dunollie,Other,"The Druids’ Hall, Dunollie"
6,Grey,Rewanui,Public School,"The Public School, Rewanui"
7,Grey,Blackball,Public School,"The Public School, Blackball"
7,Grey,Ikamatua,Public School,"The Public School, Ikamatua"
7,Grey,Mawheraiti,Railway Station,"The Railway-station, Mawheraiti"
7,Grey,Reefton,Public School,"The Public School, Reefton"
7,Grey,Big River,Other,"Big River Company’s Cottage, Big River"
7,Grey,Waitahu,Public School,"The Public School, Waitahu (Post-office, Reefton)"
7,Grey,Maimai,Railway Station,"The Railway-station, Maimai"
7,Westland,Hokitika,Hall,"The Supreme Hall, Hokitika (principal)"
7,Westland,Okura,Public School,"The Public School, Okura"
7,Westland,Bruce Bay,Public School,"The Public School, Bruce Bay"
7,Westland,Okarito,Courthouse,"The Courthouse, Okarito"
