Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
,,Mount Maunganui,3A,38,,,
,,Mount Roskill,5A,288,,,
,,Mullet Point,2,21,,,
,,Muriwai (half-time) See under Motutara,,,,,
,,Napier Street Auckland,7C,608,,,
,,Naumai,3A,44,,,
,,Nelson Street Auckland,7B,446,,,
,,Netherton,3A,89,,,
,,New Lynn,5A,249,,,
,,Newmarket,6B,481,,,
,,Newstead,3A,49,,,
,,Newton East,7G,801,,,
,,Newton West,7E,681,,,
,,Ngahape (17) and Tokanui (16),2,33,,,
,,Ngapuke,2,25,,,
,,Ngararatunua,3A,42,,,
,,Ngarua,2,32,,,
,,Ngaruawahia,5A,288,,,
,,Ngataki,1,9,,,
,,Ngatea,3A,50,,,
,,Ngongotaha,3A,85,,,
,,Ngunguru,2,31,,,
,,Ngutunui,1,22,,,
,,Normal (se page xxiii),,,,,
,,Northcote (517) and Side School (92),7C,609,,,
,,Nukuhou,1,20,,,
,,Ohaeawai,2,38,,,
,,Ohauiti,1,17,,,
,,Ohaupo,3B,105,,,
,,Ohinewai,3A,42,,,
,,Okahu Nos.1 (13) and 2 (7),1,20,,,
,,Okaihau ,2,33,,,
,,Okaihau No.2 (8) and Utakura Valley (13),2,21,,,
,,Okaihau East,0,7,,,
,,Okarea,2,18,,,
,,Okauia,3A,34,,,
,,Okupu (11) and Tryphena (13),1,24,,,
,,Omaha Little,1,14,,,
,,Omahine,3A,55,,,
,,Omana,1,18,,,
,,Omanawa (8) and Omanawa Falls (18),2,26,,,
,,Omapere,2,20,,,
,,Omokoroa,2,30,,,
,,Onehunga,7E,722,,,
,,Onerahi,3A,68,,,
,,Onewhero ,3A,65,,,
,,Oparau,2,25,,,
,,Opotiki,4C,231,,,
Xiii,,Opouriao South,3A,36,,,
,,Opua,3A,45,,,
,,Opuatia (half-time) See Under Glen Murray,,,,,
,,Opuawhango (18) and Otonga (20),3A,38,,,
,,Oputeke,1,9,,,
,,Ora Ora,0,8,,,
,,Oratia,2,28,,,
,,Orere,0,6,,,
,,Orini,3A,34,,,
,,Oropi,2,27,,,
,,Oruaiti (14) and Upper Oruaiti (7),2,21,,,
,,Oruru,2,24,,,
,,Ostend (5) and Te Huruhi (9),1,14,,,
,,Otahuhu,6B,506,,,
,,Otaika,3A,36,,,
,,Otaika Valley,1,13,,,
,,Otamarakau,1,10,,,
,,Otara,1,21,,,
,,Otara East (19) and Tirohanga (17) ,2,36,,,
,,Otaua,3A,60,,,
,,Otewe,3A,40,,,
,,Otonga (half-time) see under Opuawhanga,,,,,
,,Otoroa ,1,11,,,
,,Otorohanga,4A,127,,,
,,Otumoetai,2,34,,,
,,Oturoa,2,19,,,
,,Oue,1,15,,,
,,Owhiwha (13) and Taraunui (13),2,26,,,
,,Pa (half-time) see under Jordan,,,,,
,,Paemako (25) and Wairiri Falls (15),3A,40,,,
,,Paengaroa,3A,59,,,
,,Paerata Ridge,1,12,,,
,,Paeroa District High School - Primary (347) Secondary (18),5D,365,,,
,,Paiaka,2,21,,,
,,Pakanae,2,39,,,
,,Pakaraka,2,28,,,
,,Pakaru,2,25,,,
,,Pakautukua (8) and Port Charles (8),1,16,,,
,,Pakeho,1,16,,,
,,Pakiri,1,22,,,
,,Pakotai,2,18,,,
,,Pakuranga,3A,43,,,
,,Panmure,3B,86,,,
,,Papakura,5A,248,,,
,,Papamoa No.1 ,2,24,,,
,,Papamoa No.2,1,14,,,
,,Paparata,2,22,,,
,,Paparimu (half-time) See Under Ararimu,,,,,
,,Paparoa,3A,53,,,
,,Papatoetoe,4C,216,,,
,,Paponga,1,12,,,
,,Paradise (half-time) see under Mangarata,,,,,
,,Paraheka (21) and Rotopitaka (16),2,37,,,
,,Parakao (half-time) See under Houto,,,,,
,,Paranui (14) and Taipa(5),1,19,,,
,,Parenga,1,13,,,
,,Parkhurst,2,28,,,
,,Parnell,7C,614,,,
,,Parua Bay Nos. 1 (23) and 2 (25),3A,48,,,
,,Paterangi ,3A,48,,,
,,Patetonga,3A,46,,,
,,Patumahoe,3A,58,,,
,,Peria,3A,52,,,
,,Piarere,2,28,,,
,,Piha (6) and Whatipu (7),2,13,,,
,,Piopio,3A,76,,,
,,Pipiroa,2,26,,,
,,Pohuehue (half-time) See under Mahurangi Heads West,,,,,
,,Point Chevalier,5D,403,,,
,,Pokapu,1,21,,,
,,Pokeno,3A,67,,,
,,Pollock,2,29,,,
,,Ponga,1,10,,,
,,Pongakawa,2,16,,,
,,Ponsonby,7E,697,,,
,,Ponui,0,3,,,
,,Port Albert,3A,37,,,
,,Port Charles (half time) see under Pakautukua,,,,,
,,Puahue,2,14,,,
,,Puhoi,3A,62,,,
,,Pukekapia,1,9,,,
,,Pukekaroro,1,9,,,
,,Pukekawa,2,40,,,
,,Pukekohe District High School Primary (302) Secondary (61),52,363,,,
,,Pukekohe East,3A,42,,,
,,Pukemiro Colleries,3A,39,,,
,,Pukerimu,3A,37,,,
,,Puketapu,0,5,,,
,,Puketotara,1,8,,,
