"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00070","Pahiatua",674,"PalmerstonNorth","Wellington",17,15,16,15,14,15,14,14,14,14,13,14,14,12,12,12,12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00071","Palmerston",406,"PalmerstonNorth","Wellington",10,9,10,9,8,9,8,9,8,8,8,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00072","Palmerston North",7885,"PalmerstonNorth","Wellington",194,174,189,172,159,180,160,169,163,161,156,168,158,139,140,140,140,140,135,135,135,135,131,131,131,131,131,135,136,136,136,136,139,140,140,140,140,118,119,119,119,119,93,93,93,93,93,75,75,75,75,75,55,55,55,55,55,44,44,44,44,44,35,35,35,35,35,27,28,28,28,28,17,17,17,18,18,11,11,11,10,10,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00073","Patea",584,"NewPlymouth","Taranaki",13,12,12,11,13,13,13,12,12,13,12,14,15,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00074","Petone",3982,"Wellington","Wellington",81,80,76,80,75,80,75,73,75,78,75,70,75,69,70,70,70,71,70,70,70,70,71,70,70,70,70,71,72,72,72,72,73,74,74,74,74,66,67,67,67,67,51,52,52,52,52,40,41,41,41,41,29,30,30,29,29,23,24,24,24,24,17,17,17,17,17,11,11,12,12,12,7,7,7,7,7,5,5,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00075","Picton",706,"Nelson","Marlborough",14,17,14,15,15,16,16,17,16,16,15,17,17,14,14,14,14,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00076","Port Chalmers",1359,"Dunedin","Otago",26,27,26,26,29,27,27,28,27,27,27,29,28,27,27,27,27,26,23,23,23,23,21,21,21,21,21,20,20,20,20,20,21,21,21,21,21,20,20,20,20,20,18,18,18,18,18,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,8,8,8,8,8,5,5,5,5,5,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00077","Pukekohe",941,"Auckland","Auckland",18,19,18,19,19,19,18,18,18,18,18,19,19,18,18,18,18,17,16,16,16,16,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,12,13,13,13,13,10,10,10,10,10,7,8,8,7,7,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00078","Queenstown",396,"Dunedin","Otago",7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00079","Rangiora",1035,"Christchurch","Canterbury",20,22,20,21,21,21,21,21,21,21,20,20,21,18,18,18,18,17,17,16,17,17,16,16,16,16,16,16,17,17,17,17,18,18,18,18,18,16,16,16,16,16,13,14,14,14,14,11,11,11,11,11,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00080","Riccarton",1677,"Christchurch","Canterbury",33,36,33,35,34,35,34,33,33,34,33,33,34,30,30,30,30,28,27,27,27,27,26,26,26,26,26,27,27,27,27,27,29,29,29,29,29,26,26,26,26,26,22,22,22,22,22,17,18,18,18,18,13,13,13,13,13,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00081","Richmond",530,"Nelson","Nelson",11,13,10,11,11,12,12,13,12,12,11,13,13,10,10,10,10,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00082","Riverton",428,"Invercargill","Southland",10,10,10,10,10,10,10,9,10,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00083","Ross",223,"GreyValley","Westland",6,5,6,5,5,6,6,6,6,5,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
