"CountyID","County","Province","Population","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"CT00018","Dannevirke","Wellington",2102,55,55,52,52,49,49,49,47,44,46,43,39,39,37,38,38,38,37,33,34,34,34,32,33,33,33,33,35,36,35,36,36,35,36,36,36,36,33,33,33,33,33,25,25,25,25,25,19,20,20,20,20,14,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,4,4,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00019","East Taupo","Auckland",454,12,12,12,12,11,11,11,10,10,10,9,9,9,8,8,8,8,8,7,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00020","Eden","Auckland",6286,167,167,158,166,155,157,150,141,136,136,130,122,120,111,111,112,112,110,103,103,103,103,100,100,100,101,101,105,106,106,107,107,107,108,108,108,108,95,96,96,95,95,74,74,74,74,74,59,59,59,59,59,41,41,41,41,41,32,32,32,32,32,24,24,24,24,24,16,16,16,16,16,12,12,12,13,13,9,8,8,8,8,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00021","Egmont","Taranaki",1562,43,45,42,40,42,39,39,39,37,37,34,31,32,30,31,31,31,28,27,27,27,27,25,25,25,25,25,26,27,27,27,27,25,25,25,25,25,22,22,22,22,22,17,17,17,17,17,13,13,13,13,13,9,9,9,9,9,7,7,7,7,7,5,5,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00022","Eketahuna","Wellington",1089,28,29,27,27,26,25,25,25,23,24,22,21,20,19,20,20,20,19,17,17,17,17,17,17,17,17,17,18,18,18,19,19,18,19,19,19,19,17,17,17,17,17,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00023","Ellesmere","Canterbury",1865,48,46,46,47,46,43,42,42,41,40,38,35,34,34,34,34,34,31,30,30,30,30,29,29,29,30,30,31,31,31,31,31,30,31,31,31,31,27,28,28,27,27,22,22,22,22,22,18,18,18,18,18,12,12,12,12,12,10,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00024","Eltham","Taranaki",1708,47,49,46,44,46,43,43,42,40,40,38,34,35,33,33,33,33,31,29,30,30,30,27,27,27,28,28,29,29,29,29,29,28,28,28,28,28,24,24,24,24,24,19,19,19,19,19,14,14,14,14,14,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00025","Eyre","Canterbury",889,23,22,22,22,22,20,20,20,19,19,18,17,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,10,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00026","Featherston","Wellington",1758,46,46,44,43,41,41,41,40,37,39,36,33,32,31,32,32,32,31,28,28,28,28,27,27,27,28,28,29,30,30,30,30,30,30,30,30,30,27,28,28,28,28,21,21,21,21,21,16,17,17,17,17,12,12,12,12,12,9,9,9,9,9,7,7,7,8,8,5,5,5,5,5,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00027","Fiord","Southland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00028","Franklin","Auckland",4649,123,123,117,123,114,116,110,104,101,100,96,90,88,82,82,82,82,82,76,76,76,76,74,74,74,75,75,78,78,78,79,79,79,80,80,80,80,70,71,71,70,70,55,55,55,55,55,43,44,44,44,44,30,31,31,31,31,23,24,24,24,24,17,18,18,18,18,12,12,12,12,12,9,9,9,9,9,6,6,6,6,6,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00029","Geraldine","Canterbury",2637,68,65,64,66,65,60,59,60,57,57,53,50,48,48,48,48,48,44,42,42,42,42,41,41,41,42,42,43,43,43,44,44,43,43,43,43,43,39,39,39,39,39,31,31,31,31,31,26,26,26,26,26,18,18,18,18,18,15,15,15,15,15,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,4,4,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CT00030","Grey","Westland",2736,57,64,56,59,70,59,59,54,70,55,55,55,45,41,41,41,41,44,43,43,43,43,34,34,34,35,35,42,42,43,43,43,42,42,42,42,42,45,45,45,45,45,38,38,38,38,38,28,28,28,28,28,19,19,19,19,19,13,14,14,14,14,14,14,15,15,15,10,10,10,10,10,14,14,14,14,14,11,11,11,11,11,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
"CT00031","Halswell","Canterbury",747,19,19,18,19,19,17,17,17,16,16,15,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00032","Hauraki Plains","Auckland",1631,43,44,41,43,40,41,39,37,36,36,34,32,31,29,29,29,29,29,27,27,27,27,26,26,26,26,26,27,28,28,28,28,28,28,28,28,28,25,25,25,25,25,19,19,19,19,19,15,15,15,15,15,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
