"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00038","Invercargill South",827,"Invercargill","Southland",19,19,19,18,19,19,18,18,18,18,17,17,17,16,16,16,16,16,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00039","Kaiapoi",748,"Christchurch","Canterbury",15,16,15,15,15,15,15,15,15,15,14,15,15,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00040","Kaitangata",756,"Dunedin","Otago",15,15,14,15,16,15,15,15,15,15,15,16,16,15,15,15,15,15,13,13,13,13,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00041","Kumara",233,"GreyValley","Westland",6,6,6,6,6,6,6,6,6,6,6,5,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00042","Lawrence",315,"Dunedin","Otago",6,6,6,6,7,6,6,6,6,6,6,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00043","Levin",895,"PalmerstonNorth","Wellington",22,20,21,19,18,20,18,19,18,18,18,19,18,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,14,14,14,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00044","Lower Hutt",2587,"Wellington","Wellington",54,52,50,51,48,51,48,46,48,50,48,45,48,44,44,45,45,46,44,45,45,45,45,45,45,46,46,46,47,47,47,47,48,48,48,48,48,43,43,43,43,43,33,34,34,34,34,26,27,27,27,27,19,19,19,19,19,16,16,16,16,16,11,12,12,12,12,8,8,8,8,8,5,5,5,5,5,4,4,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00045","Lyttelton",1675,"Christchurch","Canterbury",34,36,33,34,33,34,33,33,33,33,32,32,34,29,29,30,30,27,26,26,27,27,26,26,26,26,26,27,27,27,27,27,29,29,29,29,29,26,27,27,26,26,22,22,22,22,22,18,18,18,18,18,13,13,13,13,13,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00046","Marton",1182,"Wanganui","Wellington",27,27,27,28,26,26,27,26,25,26,26,26,28,22,22,22,22,18,19,19,19,19,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,18,18,18,18,18,14,15,15,14,14,12,12,12,12,12,8,8,8,8,8,6,6,7,7,7,5,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00047","Masterton",3532,"Wellington","Wellington",73,72,68,70,65,69,65,63,66,69,66,62,66,60,61,61,61,62,61,61,61,61,62,62,62,62,62,63,64,64,64,64,65,66,66,66,66,59,59,59,59,59,46,46,46,46,46,36,36,36,36,36,26,26,26,26,26,21,21,21,22,22,16,16,16,16,16,11,11,11,11,11,7,7,7,7,7,5,5,5,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
