geo_unit,Agricultural,Commercial,Domestic,Industrial,Professional,Transport,Indefinite,sex
CT00126,0.34615384615384615,0.1391941391941392,0.029304029304029304,0.27289377289377287,0.0695970695970696,0.11355311355311355,0.029304029304029304,male
BR00001,0.09090909090909091,0.16363636363636364,0.32727272727272727,0.2,0.18181818181818182,0.01818181818181818,0.01818181818181818,female
BR00002,0.0967741935483871,0.16129032258064516,0.3225806451612903,0.1935483870967742,0.1774193548387097,0.016129032258064516,0.03225806451612903,female
BR00003,0.1,0.16666666666666666,0.3,0.2,0.16666666666666666,0.03333333333333333,0.03333333333333333,female
BR00004,0.0958904109589041,0.16666666666666666,0.317351598173516,0.19863013698630136,0.1735159817351598,0.0228310502283105,0.02511415525114155,female
BR00005,0.0966089965397924,0.16664359861591696,0.3170934256055363,0.19833910034602076,0.17259515570934256,0.022560553633217992,0.02615916955017301,female
BR00006,0.09558823529411764,0.16911764705882354,0.3161764705882353,0.19852941176470587,0.16911764705882354,0.022058823529411766,0.029411764705882353,female
BR00007,0.09502262443438914,0.167420814479638,0.3167420814479638,0.19909502262443438,0.17194570135746606,0.02262443438914027,0.027149321266968326,female
BR00008,0.09644670050761421,0.16751269035532995,0.31725888324873097,0.19796954314720813,0.17258883248730963,0.02284263959390863,0.025380710659898477,female
BR00009,0.0979020979020979,0.16783216783216784,0.3146853146853147,0.1958041958041958,0.17482517482517482,0.02097902097902098,0.027972027972027972,female
BR00010,0.09090909090909091,0.1590909090909091,0.3181818181818182,0.20454545454545456,0.18181818181818182,0.022727272727272728,0.022727272727272728,female
BR00011,0.0972972972972973,0.16756756756756758,0.31351351351351353,0.2,0.17297297297297298,0.021621621621621623,0.02702702702702703,female
BR00012,0.0958904109589041,0.1643835616438356,0.3219178082191781,0.19863013698630136,0.17123287671232876,0.02054794520547945,0.0273972602739726,female
BR00013,0.09662073490813648,0.16666666666666666,0.3170931758530184,0.19832677165354332,0.1725721784776903,0.022637795275590553,0.02608267716535433,female
BR00014,0.09090909090909091,0.16363636363636364,0.32727272727272727,0.2,0.18181818181818182,0.01818181818181818,0.01818181818181818,female
BR00015,0.09770114942528736,0.16666666666666666,0.3160919540229885,0.19827586206896552,0.1724137931034483,0.022988505747126436,0.02586206896551724,female
BR00016,0.09944751381215469,0.16574585635359115,0.3149171270718232,0.19889502762430938,0.1712707182320442,0.022099447513812154,0.027624309392265192,female
BR00017,0.09664948453608248,0.16623711340206185,0.3170103092783505,0.19845360824742267,0.17268041237113402,0.023195876288659795,0.02577319587628866,female
BR00018,0.0965697240865026,0.16666666666666666,0.31711409395973156,0.19835943325876212,0.1726323639075317,0.022557792692020878,0.02609992542878449,female
BR00019,0.09836065573770492,0.16393442622950818,0.319672131147541,0.19672131147540983,0.1721311475409836,0.02459016393442623,0.02459016393442623,female
BR00020,0.1,0.1625,0.3125,0.2,0.175,0.025,0.025,female
BR00021,0.09444444444444444,0.16666666666666666,0.31666666666666665,0.2,0.17222222222222222,0.022222222222222223,0.027777777777777776,female
BR00022,0.0967741935483871,0.17204301075268819,0.3225806451612903,0.1935483870967742,0.17204301075268819,0.021505376344086023,0.021505376344086023,female
BR00023,0.09595959595959595,0.16666666666666666,0.3181818181818182,0.1994949494949495,0.1717171717171717,0.022727272727272728,0.025252525252525252,female
BR00024,0.09333333333333334,0.16666666666666666,0.32,0.2,0.17333333333333334,0.02,0.02666666666666667,female
BR00025,0.09195402298850575,0.1724137931034483,0.3218390804597701,0.19540229885057472,0.1724137931034483,0.022988505747126436,0.022988505747126436,female
BR00026,0.09698275862068965,0.16702586206896552,0.3168103448275862,0.19827586206896552,0.1724137931034483,0.022629310344827586,0.02586206896551724,female
BR00027,0.09696969696969697,0.16666666666666666,0.3181818181818182,0.19696969696969696,0.17272727272727273,0.021212121212121213,0.02727272727272727,female
BR00028,0.09444444444444444,0.16666666666666666,0.31666666666666665,0.2,0.17222222222222222,0.022222222222222223,0.027777777777777776,female
BR00029,0.09738717339667459,0.166270783847981,0.3159144893111639,0.19714964370546317,0.17339667458432304,0.023752969121140142,0.026128266033254157,female
BR00030,0.09345794392523364,0.16822429906542055,0.3177570093457944,0.19626168224299065,0.17757009345794392,0.018691588785046728,0.028037383177570093,female
BR00031,0.09639727361246349,0.1665043816942551,0.317429406037001,0.19863680623174293,0.17234664070107109,0.022395326192794548,0.02629016553067186,female
BR00032,0.0967741935483871,0.16129032258064516,0.3225806451612903,0.1935483870967742,0.16129032258064516,0.03225806451612903,0.03225806451612903,female
BR00033,0.09697732997481108,0.16624685138539042,0.31738035264483627,0.1977329974811083,0.172544080604534,0.022670025188916875,0.02644836272040302,female
BR00034,0.09562841530054644,0.16666666666666666,0.31693989071038253,0.1994535519125683,0.1721311475409836,0.02185792349726776,0.0273224043715847,female
BR00035,0.0967741935483871,0.16666666666666666,0.3172043010752688,0.1989247311827957,0.17204301075268819,0.021505376344086023,0.026881720430107527,female
BR00036,0.0970873786407767,0.1650485436893204,0.32038834951456313,0.1941747572815534,0.17475728155339806,0.019417475728155338,0.02912621359223301,female
BR00037,0.09656181419166057,0.1667885881492319,0.3167520117044623,0.19824433065106073,0.17264081931236283,0.02267739575713241,0.026335040234089245,female
BR00038,0.09580838323353294,0.16766467065868262,0.31736526946107785,0.19760479041916168,0.17365269461077845,0.023952095808383235,0.023952095808383235,female
BR00039,0.09933774834437085,0.16556291390728478,0.31788079470198677,0.1986754966887417,0.17218543046357615,0.019867549668874173,0.026490066225165563,female
BR00040,0.09316770186335403,0.16770186335403728,0.3167701863354037,0.19875776397515527,0.17391304347826086,0.024844720496894408,0.024844720496894408,female
BR00041,0.0975609756097561,0.17073170731707318,0.3170731707317073,0.1951219512195122,0.17073170731707318,0.024390243902439025,0.024390243902439025,female
BR00042,0.09230769230769231,0.16923076923076924,0.3230769230769231,0.2,0.16923076923076924,0.015384615384615385,0.03076923076923077,female
BR00043,0.09659090909090909,0.16477272727272727,0.3181818181818182,0.19886363636363635,0.17045454545454544,0.022727272727272728,0.028409090909090908,female
BR00044,0.09619238476953908,0.16633266533066132,0.3186372745490982,0.19839679358717435,0.17234468937875752,0.022044088176352707,0.026052104208416832,female
BR00045,0.09649122807017543,0.16666666666666666,0.3157894736842105,0.19883040935672514,0.17251461988304093,0.023391812865497075,0.02631578947368421,female
BR00046,0.09649122807017543,0.16666666666666666,0.3201754385964912,0.19736842105263158,0.17105263157894737,0.021929824561403508,0.02631578947368421,female
BR00047,0.09649122807017543,0.16666666666666666,0.3172514619883041,0.19883040935672514,0.17251461988304093,0.021929824561403508,0.02631578947368421,female
BR00048,0.09615384615384616,0.16346153846153846,0.3173076923076923,0.20192307692307693,0.17307692307692307,0.019230769230769232,0.028846153846153848,female
BR00049,0.09523809523809523,0.16666666666666666,0.31746031746031744,0.1984126984126984,0.1746031746031746,0.023809523809523808,0.023809523809523808,female
BR00050,0.09917355371900827,0.1652892561983471,0.3140495867768595,0.19834710743801653,0.17355371900826447,0.024793388429752067,0.024793388429752067,female
BR00051,0.09815950920245399,0.1656441717791411,0.31901840490797545,0.19631901840490798,0.17177914110429449,0.024539877300613498,0.024539877300613498,female
BR00052,0.09774436090225563,0.16541353383458646,0.3157894736842105,0.20300751879699247,0.17293233082706766,0.022556390977443608,0.022556390977443608,female
BR00053,0.0967098703888335,0.16650049850448653,0.317048853439681,0.1984047856430708,0.17248255234297108,0.022931206380857428,0.0259222333000997,female
BR00054,0.09659969088098919,0.16692426584234932,0.3168469860896445,0.19860896445131376,0.1723338485316847,0.02241112828438949,0.02627511591962906,female
BR00055,0.0968,0.1664,0.3168,0.1984,0.1728,0.0224,0.0264,female
BR00056,0.1,0.15,0.3,0.2,0.2,0.0,0.05,female
BR00057,0.09692671394799054,0.16666666666666666,0.31678486997635935,0.19858156028368795,0.17257683215130024,0.022458628841607566,0.026004728132387706,female
BR00058,0.09742120343839542,0.166189111747851,0.31805157593123207,0.1977077363896848,0.17191977077363896,0.022922636103151862,0.025787965616045846,female
BR00059,0.09623015873015874,0.16666666666666666,0.31746031746031744,0.1984126984126984,0.17261904761904762,0.022817460317460316,0.025793650793650792,female
BR00060,0.09523809523809523,0.1684981684981685,0.31868131868131866,0.1978021978021978,0.17216117216117216,0.02197802197802198,0.02564102564102564,female
BR00061,0.09900990099009901,0.16831683168316833,0.31683168316831684,0.19801980198019803,0.16831683168316833,0.019801980198019802,0.0297029702970297,female
BR00062,0.09444444444444444,0.16666666666666666,0.31666666666666665,0.2,0.17222222222222222,0.022222222222222223,0.027777777777777776,female
BR00063,0.09622641509433963,0.1660377358490566,0.3169811320754717,0.19811320754716982,0.17358490566037735,0.022641509433962263,0.026415094339622643,female
