index,geo_unit,Name,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
22,CT00023,Ellesmere,-43.8,172.416667,48,46,46,47,46,43,42,42,41,40,38,35,34,34,34,34,34,31,30,30,30,30,29,29,29,30,30,31,31,31,31,31,30,31,31,31,31,27,28,28,27,27,22,22,22,22,22,18,18,18,18,18,12,12,12,12,12,10,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,CT00024,Eltham,-39.429722,174.299167,47,49,46,44,46,43,43,42,40,40,38,34,35,33,33,33,33,31,29,30,30,30,27,27,27,28,28,29,29,29,29,29,28,28,28,28,28,24,24,24,24,24,19,19,19,19,19,14,14,14,14,14,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,CT00025,Eyre,-43.3049,172.5967,23,22,22,22,22,20,20,20,19,19,18,17,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,10,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CT00026,Featherston,-41.11687066,175.3257958,46,46,44,43,41,41,41,40,37,39,36,33,32,31,32,32,32,31,28,28,28,28,27,27,27,28,28,29,30,30,30,30,30,30,30,30,30,27,28,28,28,28,21,21,21,21,21,16,17,17,17,17,12,12,12,12,12,9,9,9,9,9,7,7,7,8,8,5,5,5,5,5,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,CT00027,Fiord,-45.4,167.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,CT00028,Franklin,-37.201744,174.90514,123,123,117,123,114,116,110,104,101,100,96,90,88,82,82,82,82,82,76,76,76,76,74,74,74,75,75,78,78,78,79,79,79,80,80,80,80,70,71,71,70,70,55,55,55,55,55,43,44,44,44,44,30,31,31,31,31,23,24,24,24,24,17,18,18,18,18,12,12,12,12,12,9,9,9,9,9,6,6,6,6,6,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
28,CT00029,Geraldine,-44.09061,171.24458,68,65,64,66,65,60,59,60,57,57,53,50,48,48,48,48,48,44,42,42,42,42,41,41,41,42,42,43,43,43,44,44,43,43,43,43,43,39,39,39,39,39,31,31,31,31,31,26,26,26,26,26,18,18,18,18,18,15,15,15,15,15,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,4,4,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,CT00030,Grey,-42.546,171.606,57,64,56,59,70,59,59,54,70,55,55,55,45,41,41,41,41,44,43,43,43,43,34,34,34,35,35,42,42,43,43,43,42,42,42,42,42,45,45,45,45,45,38,38,38,38,38,28,28,28,28,28,19,19,19,19,19,13,14,14,14,14,14,14,15,15,15,10,10,10,10,10,14,14,14,14,14,11,11,11,11,11,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
30,CT00031,Halswell,-43.583,172.567,19,19,18,19,19,17,17,17,16,16,15,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CT00032,Hauraki Plains,-37.279927,174.492897,43,44,41,43,40,41,39,37,36,36,34,32,31,29,29,29,29,29,27,27,27,27,26,26,26,26,26,27,28,28,28,28,28,28,28,28,28,25,25,25,25,25,19,19,19,19,19,15,15,15,15,15,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
