Name,Province,latitude,longitude
Sumner,Canterbury,-43.57144,172.76447
Taihape,Wellington,-39.6777,175.7988055
Takapuna,Auckland,-36.787,174.772
Tapanui,Otago,-45.94332,169.2605276
Taumarunui,Taranaki,-38.8833,175.2666
Tauranga,Auckland,-37.68611,176.16667
Te Aroha,Auckland,-37.533,175.717
Te Awamutu,Auckland,-38.00822,175.3302
Te Kuiti,Auckland,-38.332983,175.163456
Temuka,Canterbury,-44.2453,171.27786
Thames,Auckland,-37.138389,175.5405
Timaru,Canterbury,-44.39672,171.25364
Waihi,Auckland,-37.3833,175.833
Waikouaiti,Otago,-45.59444,170.67222
Waimate,Canterbury,-44.72836,171.05009
Waipawa,Hawkes.Bay,-39.9416,176.58963
Waipukurau,Hawkes.Bay,-39.9917,176.5583
Wairoa,Hawkes.Bay,-39.03517,177.41803
Waitara,Taranaki,-39.00158,174.23836
Wanganui,Wellington,-39.9333,175.05
Wellington,Wellington,-41.28664,174.77557
West Harbour,Auckland,-36.8094,174.6418
Westport,Westland,-41.75262,171.6037
Whakatane,Hawkes.Bay,-37.9585,176.985
Whangarei,Auckland,-35.73167,174.32391
Winton,Southland,-46.15,168.33333
Woodville,Wellington,-40.3371,175.8667
Woolston,Canterbury,-43.55,172.683333
