id,name
32536,Ngātokaihoa
61553,Ngātokoerua Scenic Reserve
55889,Ngātoko Stream
14215,Ngātoro Basin
14216,Ngātoro Canyon
55536,Ngātoroirangi Seamount
4011,Ngātoro Peak
14217,Ngātoro Ridge
4012,Ngātoru Stream
54566,Ngā Tuaitara-a-Taikehu
60543,Ngā Turi-o-Murimotu
32559,Ngāturuturu
55058,Ngāumu Forest
59967,Ngā Umukākāpō
55756,Ngāumuwahine River
32566,Ngauotekākā
60499,Ngā Waka-a-Kupe
32585,Ngāwakapātiki Stream
55724,Ngāwhakaraua
32599,Ngāwhakatarara Stream
32601,Ngāwhakatātara
32602,Ngāwhakawhiti Bay
61018,Ngā Whatukaiponu
32614,Ngongotahā
60938,Ngongotahā
32613,Ngongotahā
32615,Ngongotahā Stream
32616,Ngongotahā Valley
32621,Ngūroa Bay
32682,Nīkau Creek
58689,Nohotūroa
32763,Nōpera
32836,North Mākara Stream
32841,North Ōhau River
14218,North Paritū Ridge
61667,Nūhaka
32901,Nūhaka
54938,Nūhaka Forest
32902,Nūhaka River
32929,Ōakura
32930,Ōakura
32931,Ōakura Bay
4092,Ōakura Bay
8893,Ōakura Beach Domain Recreation Reserve
58466,Ōākuramatapū River
32933,Ōakura Stream
32937,Ōamaru Bay
32936,Ōamaru Bay
56604,Ōamaru Peak
32939,Ōamaru River
32940,Ōamaru Stream
8895,Ōamaru Stream Scenic Reserve
32941,Ōananga Bay
32950,Ōariki Stream
61047,Ōaro
32953,Ōatua
32992,Ōhaeawai
32998,Ōhaiatangaora Stream
33004,Ōhakiri Stream
55610,Ōhane Stream
61096,Ōhanui
33027,Ōhara Stream
33033,Ōharuru
33034,Ōhau
33035,Ōhau Bay
33037,Ōhau Channel
55060,Ōhau Forest
33038,Ōhau Gorge
33039,Ōhau Hill
33061,Ōhauparuparu Bay
56605,Ōhau Peak
33063,Ōhaupō
33043,Ōhau Point
33042,Ōhau Point
33044,Ōhau Point
33046,Ōhau River
33047,Ōhau River
33050,Ōhau Stream
33053,Ōhau Stream
33051,Ōhau Stream
33052,Ōhau Stream
33049,Ōhau Stream
8903,Ōhau Terminal Moraine Scenic Reserve
55209,Ōhau / West Island
33067,Ōhawai
58766,Ōhekeia
60339,Ōhekia
54702,Ōhena Knoll
33080,Ōhikaiti River
33082,Ōhikanui River
33083,Ōhiku Creek
60827,Ōhinatara
4129,Ōhīnau Island
33085,Ōhineakai
33091,Ōhinemaemae
54593,Ōhinemahuta River
61248,Ōhinemutu
33101,Ōhinepaka
33110,Ōhinerangi Beach
4134,Ōhinerau
59785,Ōhinerau Bay
54542,Ōhinerau / Mount Hobson
