geo_unit,school,name,latitude,longitude,grade_1918,average_attendance_1918,gender,StatutoryLowAge,StatutoryHighAge,number_staff,SchoolCapacity
CT00009,Hillend,Bruce,-46.116667,169.966667,1,11,Mixed,5,12,1,12
CT00093,Hill Springs,Tuapeka,-45.913,169.688,0,5,Mixed,5,12,1,6
CT00014,Hinahina,Clutha,-46.233333,169.75,0,6,Mixed,5,12,1,7
CT00054,Hindon Railway,Maniototo,-45.12086448,170.0292969,1,9,Mixed,5,12,1,10
CT00074,Hooper's Inlet,Peninsula,-45.8583,170.65,1,16,Mixed,5,12,1,18
CT00014,Houipapa,Clutha,-46.233333,169.75,2,37,Mixed,5,12,1,41
CT00054,Hyde,Maniototo,-45.12086448,170.0292969,3,39,Mixed,5,12,2,43
CT00054,Ida Valley,Maniototo,-45.12086448,170.0292969,1,18,Mixed,5,12,1,20
CT00113,Incholme,Waitaki,-44.926,170.635,2,32,Mixed,5,12,1,36
CT00113,Inch Valley,Waitaki,-44.926,170.635,1,16,Mixed,5,12,1,18
CT00113,Island Cliffe,Waitaki,-44.926,170.635,2,33,Mixed,5,12,1,37
CT00014,Kahuika,Clutha,-46.233333,169.75,2,18,Mixed,5,12,1,20
CT00093,Kaihiku,Tuapeka,-45.913,169.688,1,14,Mixed,5,12,1,16
CT00113,Kakanui,Waitaki,-44.926,170.635,3,55,Mixed,5,12,3,61
CT00014,Kakapuaka,Clutha,-46.233333,169.75,1,18,Mixed,5,12,1,20
CT00100,Karitane,Waikouaiti,-45.60014881,170.4716171,2,28,Mixed,5,12,1,31
CT00113,Kartigi,Waitaki,-44.926,170.635,2,16,Mixed,5,12,1,18
CT00014,Katea,Clutha,-46.233333,169.75,2,19,Mixed,5,12,1,21
CT00113,Kauroo,Waitaki,-44.926,170.635,1,12,Mixed,5,12,1,13
CT00093,Kelso,Tuapeka,-45.913,169.688,3,47,Mixed,5,12,3,52
CT00014,Kia Ora,Clutha,-46.233333,169.75,3,36,Mixed,5,12,3,40
CT00093,Killermont,Tuapeka,-45.913,169.688,0,1,Mixed,5,12,1,1
CT00014,Kokoano,Clutha,-46.233333,169.75,1,10,Mixed,5,12,1,11
CT00054,Kokonga,Maniototo,-45.12086448,170.0292969,1,13,Mixed,5,12,1,14
CT00087,Kuri Bush,Taieri,-45.887,170.2335,0,12,Mixed,5,12,1,13
CT00014,Kuriwao,Clutha,-46.233333,169.75,1,11,Mixed,5,12,1,12
CT00113,Kurow,Waitaki,-44.926,170.635,3,66,Mixed,5,12,3,73
CT00054,Kyeburn,Maniototo,-45.12086448,170.0292969,1,13,Mixed,5,12,1,14
CT00054,Kyeburn Diggings,Maniototo,-45.12086448,170.0292969,1,10,Mixed,5,12,1,11
CT00095,Lauder,Vincent,-45.52,169.46,1,19,Mixed,5,12,1,21
CT00054,Lauder Railway Station,Maniototo,-45.12086448,170.0292969,2,25,Mixed,5,12,1,28
CT00113,Livingstone,Waitaki,-44.926,170.635,3,57,Mixed,5,12,3,63
CT00009,Lovell's Flat,Bruce,-46.116667,169.966667,3,55,Mixed,5,12,2,61
CT00095,Lowburn,Vincent,-45.52,169.46,3,56,Mixed,5,12,2,62
CT00074,Lower Harbour,Peninsula,-45.8583,170.65,2,24,Mixed,5,12,1,27
CT00048,Luggate,Lake,-44.83281,168.50304,1,12,Mixed,5,12,1,13
CT00014,McLennan,Clutha,-46.233333,169.75,2,21,Mixed,5,12,1,23
CT00097,Macrae's,Waihemo,-45.383,170.633,2,27,Mixed,5,12,1,30
CT00113,Maerewhenua,Waitaki,-44.926,170.635,2,18,Mixed,5,12,1,20
CT00113,Maheno,Waitaki,-44.926,170.635,4,126,Mixed,5,12,5,140
CT00048,Makarora,Lake,-44.83281,168.50304,1,11,Mixed,5,12,1,12
CT00014,Manuka Creek,Clutha,-46.233333,169.75,0,7,Mixed,5,12,1,8
CT00054,Matakanui,Maniototo,-45.12086448,170.0292969,2,28,Mixed,5,12,1,31
CT00014,Matau,Clutha,-46.233333,169.75,1,25,Mixed,5,12,1,28
CT00014,Matea,Clutha,-46.233333,169.75,1,19,Mixed,5,12,1,21
CT00087,Maungatua,Taieri,-45.887,170.2335,3,37,Mixed,5,12,2,41
CT00093,Merino Downs,Tuapeka,-45.913,169.688,1,10,Mixed,5,12,1,11
CT00100,Merton,Waikouaiti,-45.60014881,170.4716171,2,23,Mixed,5,12,1,26
CT00009,Milburn,Bruce,-46.116667,169.966667,3,60,Mixed,5,12,2,67
CT00093,Miller's Flat,Tuapeka,-45.913,169.688,3,63,Mixed,5,12,2,70
CT00095,Moa Creek,Vincent,-45.52,169.46,3,38,Mixed,5,12,2,42
CT00093,Moa Flat,Tuapeka,-45.913,169.688,1,10,Mixed,5,12,1,11
CT00113,Moeraki,Waitaki,-44.926,170.635,3,41,Mixed,5,12,2,46
CT00087,Momona,Taieri,-45.887,170.2335,3,47,Mixed,5,12,2,52
CT00054,Moonlight,Maniototo,-45.12086448,170.0292969,1,15,Mixed,5,12,1,17
CT00074,Mount Cargill,Peninsula,-45.8583,170.65,2,21,Mixed,5,12,1,23
CT00087,Mount Stewart,Taieri,-45.887,170.2335,1,11,Mixed,5,12,1,12
CT00095,Nevis,Vincent,-45.52,169.46,1,12,Mixed,5,12,1,13
CT00113,Ngapara,Waitaki,-44.926,170.635,3,68,Mixed,5,12,2,76
CT00054,Ngapuna,Maniototo,-45.12086448,170.0292969,1,9,Mixed,5,12,1,10
CT00074,North East Harbour,Peninsula,-45.8583,170.65,3,45,Mixed,5,12,3,50
CT00087,North Taieri,Taieri,-45.887,170.2335,2,21,Mixed,5,12,1,23
CT00014,Nugget Point,Clutha,-46.233333,169.75,1,14,Mixed,5,12,1,16
CT00074,Otakou,Peninsula,-45.8583,170.65,2,25,Mixed,5,12,1,28
CT00009,Otanomomo,Bruce,-46.116667,169.966667,2,30,Mixed,5,12,1,33
CT00113,Otekaike,Waitaki,-44.926,170.635,3,38,Mixed,5,12,3,42
CT00014,Otekura,Clutha,-46.233333,169.75,1,13,Mixed,5,12,1,14
CT00113,Otepopo,Waitaki,-44.926,170.635,3,81,Mixed,5,12,2,90
CT00113,Otiake,Waitaki,-44.926,170.635,2,29,Mixed,5,12,1,32
CT00087,Otokia,Taieri,-45.887,170.2335,2,21,Mixed,5,12,1,23
CT00054,Oturehua,Maniototo,-45.12086448,170.0292969,2,26,Mixed,5,12,1,29
CT00087,Outram,Taieri,-45.887,170.2335,3,88,Mixed,5,12,2,98
